region,title,link,published,channel
US,Gelman Remembers Regis Philbin,https://www.youtube.com/watch?v=eliVjkSNiiU,2020-07-27T18:16:37+00:00,LiveKellyandMark
US,Kelly and Ryan Remember Regis Philbin,https://www.youtube.com/watch?v=0MLq86kTCh4,2020-07-27T17:55:52+00:00,LiveKellyandMark
US,Tom Hanks And Rita Wilson Suffered Completely Different Covid-19 Symptoms,https://www.youtube.com/watch?v=-GZmDWsUSBg,2020-07-15T08:52:09+00:00,The Late Show with Stephen Colbert
US,Jackie Chan's Hilarious Story of Meeting The Queen | The Graham Norton Show,https://www.youtube.com/watch?v=kkt4BBLAZck,2020-07-04T16:00:21+00:00,The Graham Norton Show
US,Try Not to Laugh Challenge with BLACKPINK,https://www.youtube.com/watch?v=xZu8bckoIno,2020-06-27T04:06:01+00:00,The Tonight Show Starring Jimmy Fallon
US,Jon Stewart: The New Deal And GI Bill Explicitly Excluded Black People,https://www.youtube.com/watch?v=iLSeQ3t6RHQ,2020-06-25T07:35:00+00:00,The Late Show with Stephen Colbert
US,"Hasan Minhaj: To Enjoy America's Successes, We Have To Own Its Failures",https://www.youtube.com/watch?v=NRl_tpv_UJI,2020-06-17T07:35:00+00:00,The Late Show with Stephen Colbert
US,'The View' Addresses ABC News Executive Placed on Leave Over Alleged Racist Comments | The View,https://www.youtube.com/watch?v=hf3iE81xa2M,2020-06-15T16:57:57+00:00,The View
US,RuPaul writes his own question. Gets #1 answer! | Celebrity Family Feud,https://www.youtube.com/watch?v=s2JLkXCPIW8,2020-06-15T01:19:48+00:00,Family Feud
US,America Protests Police Brutality and Systemic Racism | The Daily Social Distancing Show,https://www.youtube.com/watch?v=YknhztcrURY,2020-06-09T03:55:05+00:00,The Daily Show
US,The Blind Auditions: Johnny Manuel Sings 'Home' | The Voice Australia 2020,https://www.youtube.com/watch?v=RKXIhcUwkhg,2020-06-07T12:00:11+00:00,The Voice Australia
US,New Rule: The Blue Wall of Silence | Real Time with Bill Maher (HBO),https://www.youtube.com/watch?v=cv5vFT9FmkM,2020-06-06T02:57:23+00:00,Real Time with Bill Maher
US,James Corden Gets a Lesson on White Privilege,https://www.youtube.com/watch?v=BUB3MGWT3xo,2020-06-05T06:07:57+00:00,The Late Late Show with James Corden
IN,Gelman Remembers Regis Philbin,https://www.youtube.com/watch?v=eliVjkSNiiU,2020-07-27T18:16:37+00:00,LiveKellyandMark
IN,Kelly and Ryan Remember Regis Philbin,https://www.youtube.com/watch?v=0MLq86kTCh4,2020-07-27T17:55:52+00:00,LiveKellyandMark
IN,Tom Hanks And Rita Wilson Suffered Completely Different Covid-19 Symptoms,https://www.youtube.com/watch?v=-GZmDWsUSBg,2020-07-15T08:52:09+00:00,The Late Show with Stephen Colbert
